CO2,Country of birth/nationality,Variable,Gender,Country,Value,Year,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,
,,,,,#REF!,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Turkey,42351,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Turkey,31922,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,23009,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,19400,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,18553,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Turkey,17794,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,17187,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,16772,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,16183,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Turkey,15539,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,14822,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,14182,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,13947,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,13887,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,13852,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,13791,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,13676,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,13298,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,13114,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,12960,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,12916,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,12863,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,11668,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,11615,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,11288,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,10460,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,10434,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,10425,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,10116,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,8487,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,8250,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,8215,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,7889,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,7753,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,7525,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,7480,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,7479,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,7477,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,United States,7230,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,7175,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,7122,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,6974,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,6740,2001,,,,,,,,,,,,,
