CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2000,878,0
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2001,847,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2002,632,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2003,780,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2004,761,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2005,987,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2006,931,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2007,977,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2008,1153,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2009,2041,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2010,1832,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2011,2559,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2012,3024,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2013,3068,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2014,2693,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2015,3935,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2016,2785,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2017,2818,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2018,2560,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,2019,2163,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2000,2466,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2001,1060,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2002,1007,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2003,1152,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2004,1008,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2005,1033,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2006,2161,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2007,2004,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2008,1701,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2009,1872,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2010,1627,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2011,1349,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2012,2409,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2013,2595,
IRN,Iran,Inflows of foreign population by nationality,Total,Austria,2014,2612,
