Country of birth/nationality,Variable,Gender,Country,Year,Value
Iran,Inflows of foreign population by nationality,Women,Australia,2000,434
Iran,Inflows of foreign population by nationality,Women,Australia,2001,439
Iran,Inflows of foreign population by nationality,Women,Australia,2002,330
Iran,Inflows of foreign population by nationality,Women,Australia,2003,412
Iran,Inflows of foreign population by nationality,Women,Australia,2004,410
Iran,Inflows of foreign population by nationality,Women,Australia,2005,478
Iran,Inflows of foreign population by nationality,Women,Australia,2006,456
Iran,Inflows of foreign population by nationality,Women,Australia,2007,477
Iran,Inflows of foreign population by nationality,Women,Australia,2008,538
Iran,Inflows of foreign population by nationality,Women,Australia,2009,948
Iran,Inflows of foreign population by nationality,Women,Australia,2010,866
Iran,Inflows of foreign population by nationality,Women,Australia,2011,1469
Iran,Inflows of foreign population by nationality,Women,Australia,2012,1985
Iran,Inflows of foreign population by nationality,Women,Australia,2013,1926
Iran,Inflows of foreign population by nationality,Women,Australia,2014,1420
Iran,Inflows of foreign population by nationality,Women,Australia,2015,1832
Iran,Inflows of foreign population by nationality,Women,Australia,2016,1368
Iran,Inflows of foreign population by nationality,Women,Australia,2017,1376
Iran,Inflows of foreign population by nationality,Women,Australia,2018,1294
Iran,Inflows of foreign population by nationality,Women,Australia,2019,1106
Iran,Inflows of foreign population by nationality,Total,Australia,2000,878
Iran,Inflows of foreign population by nationality,Total,Australia,2001,847
Iran,Inflows of foreign population by nationality,Total,Australia,2002,632
Iran,Inflows of foreign population by nationality,Total,Australia,2003,780
Iran,Inflows of foreign population by nationality,Total,Australia,2004,761
Iran,Inflows of foreign population by nationality,Total,Australia,2005,987
Iran,Inflows of foreign population by nationality,Total,Australia,2006,931
Iran,Inflows of foreign population by nationality,Total,Australia,2007,977
Iran,Inflows of foreign population by nationality,Total,Australia,2008,1153
Iran,Inflows of foreign population by nationality,Total,Australia,2009,2041
Iran,Inflows of foreign population by nationality,Total,Australia,2010,1832
Iran,Inflows of foreign population by nationality,Total,Australia,2011,2559
Iran,Inflows of foreign population by nationality,Total,Australia,2012,3024
Iran,Inflows of foreign population by nationality,Total,Australia,2013,3068
Iran,Inflows of foreign population by nationality,Total,Australia,2014,2693
Iran,Inflows of foreign population by nationality,Total,Australia,2015,3935
Iran,Inflows of foreign population by nationality,Total,Australia,2016,2785
Iran,Inflows of foreign population by nationality,Total,Australia,2017,2818
Iran,Inflows of foreign population by nationality,Total,Australia,2018,2560
Iran,Inflows of foreign population by nationality,Total,Australia,2019,2163
Iran,Inflows of foreign population by nationality,Women,Austria,2000,1014
Iran,Inflows of foreign population by nationality,Women,Austria,2001,460
Iran,Inflows of foreign population by nationality,Women,Austria,2002,469
Iran,Inflows of foreign population by nationality,Women,Austria,2003,519
Iran,Inflows of foreign population by nationality,Women,Austria,2004,455
Iran,Inflows of foreign population by nationality,Women,Austria,2005,501
Iran,Inflows of foreign population by nationality,Women,Austria,2006,1096
Iran,Inflows of foreign population by nationality,Women,Austria,2007,970
Iran,Inflows of foreign population by nationality,Women,Austria,2008,840
Iran,Inflows of foreign population by nationality,Women,Austria,2009,897
Iran,Inflows of foreign population by nationality,Women,Austria,2010,793
Iran,Inflows of foreign population by nationality,Women,Austria,2011,631
Iran,Inflows of foreign population by nationality,Women,Austria,2012,1114
Iran,Inflows of foreign population by nationality,Women,Austria,2013,1253
Iran,Inflows of foreign population by nationality,Women,Austria,2014,1241
Iran,Inflows of foreign population by nationality,Women,Austria,2015,1682
Iran,Inflows of foreign population by nationality,Women,Austria,2016,1784
Iran,Inflows of foreign population by nationality,Women,Austria,2017,860
Iran,Inflows of foreign population by nationality,Women,Austria,2018,770
Iran,Inflows of foreign population by nationality,Women,Austria,2019,640
Iran,Inflows of foreign population by nationality,Total,Austria,2000,2466
Iran,Inflows of foreign population by nationality,Total,Austria,2001,1060
Iran,Inflows of foreign population by nationality,Total,Austria,2002,1007
Iran,Inflows of foreign population by nationality,Total,Austria,2003,1152
Iran,Inflows of foreign population by nationality,Total,Austria,2004,1008
Iran,Inflows of foreign population by nationality,Total,Austria,2005,1033
Iran,Inflows of foreign population by nationality,Total,Austria,2006,2161
Iran,Inflows of foreign population by nationality,Total,Austria,2007,2004
Iran,Inflows of foreign population by nationality,Total,Austria,2008,1701
Iran,Inflows of foreign population by nationality,Total,Austria,2009,1872
Iran,Inflows of foreign population by nationality,Total,Austria,2010,1627
Iran,Inflows of foreign population by nationality,Total,Austria,2011,1349
Iran,Inflows of foreign population by nationality,Total,Austria,2012,2409
Iran,Inflows of foreign population by nationality,Total,Austria,2013,2595
Iran,Inflows of foreign population by nationality,Total,Austria,2014,2612
Iran,Inflows of foreign population by nationality,Total,Austria,2015,4673
Iran,Inflows of foreign population by nationality,Total,Austria,2016,4678
Iran,Inflows of foreign population by nationality,Total,Austria,2017,1806
Iran,Inflows of foreign population by nationality,Total,Austria,2018,1699
Iran,Inflows of foreign population by nationality,Total,Austria,2019,1400
Iran,Inflows of foreign population by nationality,Women,Belgium,2008,140
Iran,Inflows of foreign population by nationality,Women,Belgium,2009,169
Iran,Inflows of foreign population by nationality,Women,Belgium,2010,197
Iran,Inflows of foreign population by nationality,Women,Belgium,2011,209
Iran,Inflows of foreign population by nationality,Women,Belgium,2012,306
Iran,Inflows of foreign population by nationality,Women,Belgium,2013,225
Iran,Inflows of foreign population by nationality,Women,Belgium,2014,181
Iran,Inflows of foreign population by nationality,Women,Belgium,2015,239
Iran,Inflows of foreign population by nationality,Women,Belgium,2016,205
Iran,Inflows of foreign population by nationality,Women,Belgium,2017,235
Iran,Inflows of foreign population by nationality,Women,Belgium,2018,352
Iran,Inflows of foreign population by nationality,Women,Belgium,2019,446
Iran,Inflows of foreign population by nationality,Total,Belgium,2008,242
Iran,Inflows of foreign population by nationality,Total,Belgium,2009,277
Iran,Inflows of foreign population by nationality,Total,Belgium,2010,350
Iran,Inflows of foreign population by nationality,Total,Belgium,2011,374
Iran,Inflows of foreign population by nationality,Total,Belgium,2012,644
Iran,Inflows of foreign population by nationality,Total,Belgium,2013,460
Iran,Inflows of foreign population by nationality,Total,Belgium,2014,338
Iran,Inflows of foreign population by nationality,Total,Belgium,2015,644
Iran,Inflows of foreign population by nationality,Total,Belgium,2016,437
Iran,Inflows of foreign population by nationality,Total,Belgium,2017,447
Iran,Inflows of foreign population by nationality,Total,Belgium,2018,750
Iran,Inflows of foreign population by nationality,Total,Belgium,2019,1093
Iran,Inflows of foreign population by nationality,Women,Canada,2000,2738
Iran,Inflows of foreign population by nationality,Women,Canada,2001,2806
Iran,Inflows of foreign population by nationality,Women,Canada,2002,3817
Iran,Inflows of foreign population by nationality,Women,Canada,2003,3033
Iran,Inflows of foreign population by nationality,Women,Canada,2004,3200
Iran,Inflows of foreign population by nationality,Women,Canada,2005,2947
Iran,Inflows of foreign population by nationality,Women,Canada,2006,3710
Iran,Inflows of foreign population by nationality,Women,Canada,2007,3493
Iran,Inflows of foreign population by nationality,Women,Canada,2008,3303
Iran,Inflows of foreign population by nationality,Women,Canada,2009,3307
Iran,Inflows of foreign population by nationality,Women,Canada,2010,3645
Iran,Inflows of foreign population by nationality,Women,Canada,2011,3723
Iran,Inflows of foreign population by nationality,Women,Canada,2012,3746
Iran,Inflows of foreign population by nationality,Women,Canada,2013,5925
Iran,Inflows of foreign population by nationality,Women,Canada,2014,8494
Iran,Inflows of foreign population by nationality,Women,Canada,2015,5785
Iran,Inflows of foreign population by nationality,Women,Canada,2016,3345
Iran,Inflows of foreign population by nationality,Women,Canada,2017,2510
Iran,Inflows of foreign population by nationality,Women,Canada,2018,2775
Iran,Inflows of foreign population by nationality,Women,Canada,2019,3130
Iran,Inflows of foreign population by nationality,Total,Canada,2000,5617
Iran,Inflows of foreign population by nationality,Total,Canada,2001,5746
Iran,Inflows of foreign population by nationality,Total,Canada,2002,7889
Iran,Inflows of foreign population by nationality,Total,Canada,2003,5918
Iran,Inflows of foreign population by nationality,Total,Canada,2004,6348
Iran,Inflows of foreign population by nationality,Total,Canada,2005,5837
Iran,Inflows of foreign population by nationality,Total,Canada,2006,7480
Iran,Inflows of foreign population by nationality,Total,Canada,2007,6974
Iran,Inflows of foreign population by nationality,Total,Canada,2008,6474
Iran,Inflows of foreign population by nationality,Total,Canada,2009,6580
Iran,Inflows of foreign population by nationality,Total,Canada,2010,7477
Iran,Inflows of foreign population by nationality,Total,Canada,2011,7479
Iran,Inflows of foreign population by nationality,Total,Canada,2012,7525
Iran,Inflows of foreign population by nationality,Total,Canada,2013,11288
Iran,Inflows of foreign population by nationality,Total,Canada,2014,16772
Iran,Inflows of foreign population by nationality,Total,Canada,2015,11668
Iran,Inflows of foreign population by nationality,Total,Canada,2016,6485
Iran,Inflows of foreign population by nationality,Total,Canada,2017,4735
Iran,Inflows of foreign population by nationality,Total,Canada,2018,5510
Iran,Inflows of foreign population by nationality,Total,Canada,2019,6055
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2003,5
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2004,6
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2005,7
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2006,11
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2007,23
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2008,21
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2009,26
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2010,37
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2011,14
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2012,12
Iran,Inflows of foreign population by nationality,Women,Czech Republic,2013,25
