CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2000,434
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2001,439
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2002,330
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2003,412
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2004,410
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2005,478
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2006,456
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2007,477
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2008,538
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2009,948
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2010,866
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2011,1469
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2012,1985
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2013,1926
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2014,1420
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2015,1832
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2016,1368
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2017,1376
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2018,1294
IRN,Iran,Inflows of foreign population by nationality,Women,Australia,2019,1106
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2000,2
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2001,15
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2004,104
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2005,77
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2006,124
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2007,113
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2008,125
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2009,115
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2010,100
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2011,107
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2012,125
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2013,141
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2014,158
IRN,Iran,Outflows of foreign population by nationality,Women,Australia,2015,200
