Variable,Country,Year,Value,,,,,,,,,,,
inflow,Australia,2000,878,,,,,,,,,,,
inflow,Australia,2001,847,,,,,,,,,,,
inflow,Australia,2002,632,,,,,,,,,,,
inflow,Australia,2003,780,,,,,,,,,,,
inflow,Australia,2004,761,,,,,,,,,,,
inflow,Australia,2005,987,,,,,,,,,,,
inflow,Australia,2006,931,,,,,,,,,,,
inflow,Australia,2007,977,,,,,,,,,,,
inflow,Australia,2008,1153,,,,,,,,,,,
inflow,Australia,2009,2041,,,,,,,,,,,
inflow,Australia,2010,1832,,,,,,,,,,,
inflow,Australia,2011,2559,,,,,,,,,,,
inflow,Australia,2012,3024,,,,,,,,,,,
inflow,Australia,2013,3068,,,,,,,,,,,
inflow,Australia,2014,2693,,,,,,,,,,,
inflow,Australia,2015,3935,,,,,,,,,,,
inflow,Australia,2016,2785,,,,,,,,,,,
inflow,Australia,2017,2818,,,,,,,,,,,
inflow,Australia,2018,2560,,,,,,,,,,,
inflow,Australia,2019,2163,,,,,,,,,,,
outflow,Australia,2000,5,,,,,,,,,,,
outflow,Australia,2001,30,,,,,,,,,,,
outflow,Australia,2004,220,,,,,,,,,,, 
outflow,Australia,2005,208,,,,,,,,,,,
outflow,Australia,2006,269,,,,,,,,,,,
outflow,Australia,2007,248,,,,,,,,,,,
outflow,Australia,2008,264,,,,,,,,,,,
outflow,Australia,2009,254,,,,,,,,,,,
outflow,Australia,2010,248,,,,,,,,,,,
outflow,Australia,2011,264,,,,,,,,,,,
outflow,Australia,2012,277,,,,,,,,,,,
outflow,Australia,2013,310,,,,,,,,,,,
outflow,Australia,2014,397,,,,,,,,,,,
outflow,Australia,2015,500,,,,,,,,,,,
outflow,Australia,2016,500,,,,,,,,,,,
inflow,Austria,2000,2466,,,,,,,,,,,
inflow,Austria,2001,1060,,,,,,,,,,,
inflow,Austria,2002,1007,,,,,,,,,,,
inflow,Austria,2003,1152,,,,,,,,,,,
inflow,Austria,2004,1008,,,,,,,,,,,
inflow,Austria,2005,1033,,,,,,,,,,,
inflow,Austria,2006,2161,,,,,,,,,,,
inflow,Austria,2007,2004,,,,,,,,,,,
inflow,Austria,2008,1701,,,,,,,,,,,
inflow,Austria,2009,1872,,,,,,,,,,,
inflow,Austria,2010,1627,,,,,,,,,,,
inflow,Austria,2011,1349,,,,,,,,,,,
inflow,Austria,2012,2409,,,,,,,,,,,
inflow,Austria,2013,2595,,,,,,,,,,,
inflow,Austria,2014,2612,,,,,,,,,,,
inflow,Austria,2015,4673,,,,,,,,,,,
inflow,Austria,2016,4678,,,,,,,,,,,
inflow,Austria,2017,1806,,,,,,,,,,,
inflow,Austria,2018,1699,,,,,,,,,,,
inflow,Austria,2019,1400,,,,,,,,,,,
outflow,Austria,2000,2056,,,,,,,,,,,
outflow,Austria,2001,1350,,,,,,,,,,,
outflow,Austria,2002,810,,,,,,,,,,,
outflow,Austria,2003,943,,,,,,,,,,,
outflow,Austria,2004,881,,,,,,,,,,,
outflow,Austria,2005,902,,,,,,,,,,,
outflow,Austria,2006,1722,,,,,,,,,,,
outflow,Austria,2007,1506,,,,,,,,,,,
outflow,Austria,2008,1657,,,,,,,,,,,
outflow,Austria,2009,1649,,,,,,,,,,,
outflow,Austria,2010,1373,,,,,,,,,,,
outflow,Austria,2011,1108,,,,,,,,,,,
outflow,Austria,2012,1007,,,,,,,,,,,
outflow,Austria,2013,1679,,,,,,,,,,,
outflow,Austria,2014,1982,,,,,,,,,,,
outflow,Austria,2015,1399,,,,,,,,,,,
outflow,Austria,2016,2396,,,,,,,,,,,
outflow,Austria,2017,1726,,,,,,,,,,,
outflow,Austria,2018,995,,,,,,,,,,,
outflow,Austria,2019,867,,,,,,,,,,,
inflow,Belgium,2008,242,,,,,,,,,,,
inflow,Belgium,2009,277,,,,,,,,,,,
inflow,Belgium,2010,350,,,,,,,,,,,
inflow,Belgium,2011,374,,,,,,,,,,,
inflow,Belgium,2012,644,,,,,,,,,,,
inflow,Belgium,2013,460,,,,,,,,,,,
inflow,Belgium,2014,338,,,,,,,,,,,
inflow,Belgium,2015,644,,,,,,,,,,,
inflow,Belgium,2016,437,,,,,,,,,,,
inflow,Belgium,2017,447,,,,,,,,,,,
inflow,Belgium,2018,750,,,,,,,,,,,
inflow,Belgium,2019,1093,,,,,,,,,,,
outflow,Belgium,2010,119,,,,,,,,,,,
outflow,Belgium,2011,173,,,,,,,,,,,
outflow,Belgium,2012,238,,,,,,,,,,,
outflow,Belgium,2013,272,,,,,,,,,,,
outflow,Belgium,2014,283,,,,,,,,,,,
outflow,Belgium,2015,210,,,,,,,,,,,
outflow,Belgium,2016,123,,,,,,,,,,,
outflow,Belgium,2017,152,,,,,,,,,,,
outflow,Belgium,2018,116,,,,,,,,,,,
outflow,Belgium,2019,113,,,,,,,,,,,
inflow,Canada,2000,5617,,,,,,,,,,,
inflow,Canada,2001,5746,,,,,,,,,,,
inflow,Canada,2002,7889,,,,,,,,,,,
inflow,Canada,2003,5918,,,,,,,,,,,
inflow,Canada,2004,6348,,,,,,,,,,,
inflow,Canada,2005,5837,,,,,,,,,,,
inflow,Canada,2006,7480,,,,,,,,,,,
inflow,Canada,2007,6974,,,,,,,,,,,
inflow,Canada,2008,6474,,,,,,,,,,,
inflow,Canada,2009,6580,,,,,,,,,,,
inflow,Canada,2010,7477,,,,,,,,,,,
inflow,Canada,2011,7479,,,,,,,,,,,
inflow,Canada,2012,7525,,,,,,,,,,,
inflow,Canada,2013,11288,,,,,,,,,,,
inflow,Canada,2014,16772,,,,,,,,,,,
inflow,Canada,2015,11668,,,,,,,,,,,
inflow,Canada,2016,6485,,,,,,,,,,,
inflow,Canada,2017,4735,,,,,,,,,,,
inflow,Canada,2018,5510,,,,,,,,,,,
inflow,Canada,2019,6055,,,,,,,,,,,
inflow,Czech Republic,2003,25,,,,,,,,,,,
inflow,Czech Republic,2004,16,,,,,,,,,,,
inflow,Czech Republic,2005,26,,,,,,,,,,,
inflow,Czech Republic,2006,38,,,,,,,,,,,
inflow,Czech Republic,2007,68,,,,,,,,,,,
inflow,Czech Republic,2008,54,,,,,,,,,,,
inflow,Czech Republic,2009,64,,,,,,,,,,,
inflow,Czech Republic,2010,79,,,,,,,,,,,
inflow,Czech Republic,2011,27,,,,,,,,,,,
inflow,Czech Republic,2012,35,,,,,,,,,,,
inflow,Czech Republic,2013,58,,,,,,,,,,,
inflow,Czech Republic,2014,63,,,,,,,,,,,
inflow,Czech Republic,2015,66,,,,,,,,,,,
inflow,Czech Republic,2016,73,,,,,,,,,,,
inflow,Czech Republic,2017,127,,,,,,,,,,,
inflow,Czech Republic,2018,189,,,,,,,,,,,
inflow,Czech Republic,2019,241,,,,,,,,,,,
outflow,Czech Republic,2003,11,,,,,,,,,,,
outflow,Czech Republic,2004,14,,,,,,,,,,,
outflow,Czech Republic,2005,12,,,,,,,,,,,
outflow,Czech Republic,2006,24,,,,,,,,,,,
outflow,Czech Republic,2007,19,,,,,,,,,,,
outflow,Czech Republic,2012,11,,,,,,,,,,,
outflow,Czech Republic,2013,37,,,,,,,,,,,
outflow,Czech Republic,2014,20,,,,,,,,,,,
outflow,Czech Republic,2015,29,,,,,,,,,,,
outflow,Czech Republic,2016,29,,,,,,,,,,,
outflow,Czech Republic,2017,31,,,,,,,,,,,
outflow,Czech Republic,2018,50,,,,,,,,,,,
outflow,Czech Republic,2019,82,,,,,,,,,,,
inflow,Denmark,2000,401,,,,,,,,,,,
inflow,Denmark,2001,348,,,,,,,,,,,
inflow,Denmark,2002,463,,,,,,,,,,,
inflow,Denmark,2003,241,,,,,,,,,,,
inflow,Denmark,2004,193,,,,,,,,,,,
inflow,Denmark,2005,197,,,,,,,,,,,
inflow,Denmark,2006,281,,,,,,,,,,,
inflow,Denmark,2007,130,,,,,,,,,,,
inflow,Denmark,2008,210,,,,,,,,,,,
inflow,Denmark,2009,296,,,,,,,,,,,
inflow,Denmark,2010,461,,,,,,,,,,,
inflow,Denmark,2011,567,,,,,,,,,,,
inflow,Denmark,2012,592,,,,,,,,,,,
inflow,Denmark,2013,931,,,,,,,,,,,
inflow,Denmark,2014,939,,,,,,,,,,,
inflow,Denmark,2015,0,,,,,,,,,,,
inflow,Denmark,2016,819,,,,,,,,,,,
inflow,Denmark,2017,1273,,,,,,,,,,,
inflow,Denmark,2018,624,,,,,,,,,,,
inflow,Denmark,2019,543,,,,,,,,,,,
outflow,Denmark,2000,72,,,,,,,,,,,
outflow,Denmark,2001,72,,,,,,,,,,,
outflow,Denmark,2002,46,,,,,,,,,,,
outflow,Denmark,2003,67,,,,,,,,,,,
outflow,Denmark,2004,82,,,,,,,,,,,
outflow,Denmark,2005,52,,,,,,,,,,,
outflow,Denmark,2006,45,,,,,,,,,,,
outflow,Denmark,2007,66,,,,,,,,,,,
outflow,Denmark,2008,70,,,,,,,,,,,
outflow,Denmark,2009,48,,,,,,,,,,,
outflow,Denmark,2010,85,,,,,,,,,,,
outflow,Denmark,2011,108,,,,,,,,,,,
outflow,Denmark,2012,107,,,,,,,,,,,
outflow,Denmark,2013,134,,,,,,,,,,,
outflow,Denmark,2014,221,,,,,,,,,,,
outflow,Denmark,2015,304,,,,,,,,,,,
